Feature,Importance
Units Sold,0.716172063246183
Inventory Coverage,0.18268410083811742
Inventory Level,0.055496500440030516
Units Ordered,0.025949510484918836
Category,0.002309793079893542
Discount Amount,0.0022693505396438472
Price,0.00199903511978935
Price Difference,0.0017628386298730076
Competitor Pricing,0.0015500711896416419
Day,0.0014725041857184679
Week,0.0010969204778862654
Epidemic,0.0010918508262608272
Month Name,0.0009025317276166306
Day of Week,0.0008438386397066865
Promotion,0.0008063776406867539
Region,0.0006757779046240102
Weather Condition,0.0006200592463791801
Discount,0.0006162619075084186
Month,0.00044721106428752857
Seasonality,0.0003321894707786349
Year,0.00031952010423536665
Weekend,0.00018861456844484743
Quarter,0.00018583783030793276
Stockout Risk,0.0001140251505984726
Overstock Risk,9.321568686874787e-05
